deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-CB25-VR2W-109524-2014,ManmadePlatform,109524,VEMCO,47.97136,-65.35157,2014-05-29T23:32:00Z,2014-09-10T18:05:00Z,45.72,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB25,OTN-Global
ASF-CB26-VR2W-113153-2014,ManmadePlatform,113153,VEMCO,47.97775,-65.35748,2014-05-29T23:41:00Z,2014-10-15T20:40:00Z,39.62,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB26,OTN-Global
ASF-Cascapedia 2-VR2W-108611-2014,ManmadePlatform,108611,VEMCO,48.1903,-65.90461,2014-05-06T16:38:00Z,2014-06-23T03:00:00Z,3,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-Cascapedia 2,OTN-Global
ASF-CB27-VR2W-120030-2014,ManmadePlatform,120030,VEMCO,47.98415,-65.36345,2014-05-29T23:50:00Z,9999-12-31T23:59:00Z,30.48,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB27,OTN-Global
ASF-CB2-VR2W-106195-2014,ManmadePlatform,106195,VEMCO,47.82361,-65.21595,2014-09-10T20:10:00Z,2014-10-22T15:00:00Z,30.48,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB2,OTN-Global
ASF-CB2-VR2W-109396-2014,ManmadePlatform,109396,VEMCO,47.82361,-65.21595,2014-05-29T20:27:00Z,2014-09-10T15:39:00Z,30.48,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB2,OTN-Global
ASF-CB3-VR2W-109396-2014,ManmadePlatform,109396,VEMCO,47.82992,-65.22166,2014-09-10T20:17:00Z,2014-10-22T14:50:00Z,36.58,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB3,OTN-Global
ASF-CB3-VR2W-109400-2014,ManmadePlatform,109400,VEMCO,47.82992,-65.22166,2014-05-29T20:36:00Z,9999-12-31T23:59:00Z,36.58,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB3,OTN-Global
ASF-CB4-VR2W-106195-2014,ManmadePlatform,106195,VEMCO,47.83629,-65.22753,2014-05-29T20:47:00Z,2014-09-10T19:40:00Z,39.62,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB4,OTN-Global
ASF-CB4-VR2W-120014-2014,ManmadePlatform,120014,VEMCO,47.83629,-65.22753,2014-09-10T20:21:00Z,2014-10-22T14:30:00Z,39.62,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB4,OTN-Global
ASF-CB5-VR2W-105403-2014,ManmadePlatform,105403,VEMCO,47.84285,-65.2334,2014-05-29T21:02:00Z,2014-09-10T15:55:00Z,48.77,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB5,OTN-Global
ASF-CB6-VR2W-120014-2014,ManmadePlatform,120014,VEMCO,47.84935,-65.23943,2014-05-29T21:14:00Z,2014-09-10T19:35:00Z,57.91,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB6,OTN-Global
ASF-CB7-VR2W-120003-2014,ManmadePlatform,120003,VEMCO,47.8556,-65.24518,2014-05-29T21:25:00Z,2014-11-25T04:00:00Z,67.06,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB7,OTN-Global
ASF-CB8-VR2W-120033-2014,ManmadePlatform,120033,VEMCO,47.86211,-65.25107,2014-05-29T21:22:00Z,2014-09-10T16:06:00Z,70.1,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-CB8,OTN-Global
